"FullName","SizeMB","CreationTime","Extension"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_213200.jpg","3.54","18-10-2025 00:49:11",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_213236.jpg","5.46","18-10-2025 00:49:13",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240731_075649.jpg","3.13","18-10-2025 00:49:15",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240801_075617.jpg","3.95","18-10-2025 00:49:16",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240801_075619.jpg","3.97","18-10-2025 00:49:17",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240801_092953.jpg","4.72","18-10-2025 00:49:19",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240801_093001.jpg","5.48","18-10-2025 00:49:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240801_093651.jpg","3.38","18-10-2025 00:49:23",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240801_093653.jpg","3.12","18-10-2025 00:49:24",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240802_075642.jpg","3.39","18-10-2025 00:49:25",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240802_131049.jpg","6.91","18-10-2025 00:49:27",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240802_131057.jpg","6","18-10-2025 00:49:30",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_062622.jpg","4.6","18-10-2025 00:49:31",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_062625.jpg","7.11","18-10-2025 00:49:32",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_075339.jpg","3.97","18-10-2025 00:49:33",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_075340.jpg","4.02","18-10-2025 00:49:35",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_083155.jpg","5.22","18-10-2025 00:49:37",".jpg"
